title,org,division,unit,where,description_1,description_2,description_3,desc_PHARMA,detail,start_day,start_month,start_year,end_day,end_month,end_year
Freelance Policy Analyst & Data Scientist,Various public and private entities,NA,NA,"Italy & remote","Advised different Italian entities (government, academia and think tanks) on data-driven policy analysis",Prepared intensive courses on statistics and machine learning with R,Developed and authored technical content for various publications,Designed automated and reproducible data collection and indicators' tracking protocols--using R and Quarto,Produced high-impact reports and technical outputs used in policy decision-making,01,11,2019,NA,NA,NA

Expert in EU Funds Analysis,Italian Presidency of the Council of Ministers,Dip. Cohesion Policies,PNRR Unit,"Rome, Italy","Contributed to monitoring and implementation of EU recovery fund measures for regional cohesion",Developed automated reporting tools to track milestones and outcomes of EU-funded interventions,NA,NA,NA,03,02,2023,14,08,2024

Sr. Economic Advisor (G20 task force),Italian Ministry of Economy & Finance,International Financial Relations,"G7/G20 Office","Rome, Italy","Served as Sr. delegate for the Infrastructure Working Group (IWG) during Italy's G20 Presidency in 2021",Coordinated 3 junior resources and lead the infrastructure resilience and maintenance workstream,Drafted the _'G20 Policy Agenda on Infrastructure Maintenance'_ endorsed by G20 Finance Ministers,NA,NA,03,02,2020,31,11,2021

Advisor for EU funding proposal,CSIL,NA,CSIL,"Milan, Italy",Advised on tender for research EU-funded project on _'EU Lagging Regions: state of play and future challenges'_,Contributed to preparation of technical and financial proposal to the European Parliament's Committee on Regional Development (REGI),NA,NA,NA,02,02,2020,23,03,2020

Research Fellow (Water & Sanitation),Inter-American Development Bank,Infrastructure Dept.,Water Div.,"Washington DC, US",Conducted surveys and analyses of supply and demand of Water and Sanitation in Latin America,Supervised contractor and collaborators employed in field surveys in Brazil and Mexico,Contributed to 2020 IADB flagship publication on Infrastructure _'From Structures to Services'_,Led multi-country surveys on quality of water supply in Latin America; wrote R scripts for survey data cleaning and analysis,Drafted contributions for flagship reports and peer-reviewed publications,01,05,2018,03,10,2019

Monitoring & Evaluation Specialist,World Bank,Sustainable Development Practice,GPOBA & WPP Trust Funds,"Washington DC, US",Designed and managed M&E frameworks for 2 multi-donor development trust funds: WPP and GPOBA,"Conducted feasibility and impact evaluation studies focused on infrastructure poverty dimensions in rural and urban areas in India, Kenya, Uganda, and Bangladesh","Redacted 3 peer-reviewed publications, including pilot research on integrating satellite imagery and household survey data to estimate Slum Severity Index in Dhaka","Developed RCTs and quasi-experimental studies (e.g. Propensity Score Matching) in health, energy, water sectors","Designed data pipelines aligned with real-world evaluation standards, for data collection and analysis--using SQL and Excel",23,03,2009,30,04,2018

Research Assistant (Social Protection & Health),Inter-American Development Bank,Social Protection & Health Div.,NA,"Washington DC, US","Assisted in social development project on education and vocational training in Fortaleza, Brazil",NA,NA,"Completed comparative study on youth education and presented research findings to internal and external stakeholders",NA,NA,01,10,2008,28,02,2009

Summer Intern (Social Inclusion and Education),AVSI International NGO,,,"Rio and Belo Horizonte, Brazil","Initiated empirical study of slum electrification project _'Conviver'_ (Belo Horizonte)",Advised on data sharing among AVSI multi-city educational interventions in urban _'favelas'_,NA,"Completed empirical causal inference study on original data from cross-sectional survey of 3,000 households--using Stata",NA,01,06,2007,12,08,2007

Business Intelligence Analyst,Value Partners Management Consulting,Research & Information Dept.,,"Milan, Italy",Provided competitive positioning analyses for Italian clients and their domestic and international operations,Participated in feasibility analysis for Corporate Social Responsabilities (CSR) initiatives of client companies,NA,"Supported cross-functional consulting teams with data extraction, synthesis of sectoral trends, and production of client-facing reports grounded in primary and secondary data sources",NA,01,10,2001,30,06,2006